dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed;clienID;lat;long
2023-06-07 09:03:35.056153;72.76507098579177;251;127;124;86;20;20;6;10;8;33189;87;33001;975;X46789_5;48.76411315;1.9314014625
2023-06-07 09:03:35.158068;70.85649867534312;253;126;124;90;20;20;6;10;9;33173;88;33000;975;X46789_5;48.76411407477778;1.9314030301944445
2023-06-07 09:03:35.259555;69.44470553452561;253;127;124;90;20;20;5;10;8;33189;88;33017;973;X46789_5;48.76411499955556;1.931404597888889
2023-06-07 09:03:35.360769;72.07463939264252;254;127;124;90;20;20;5;10;7;33195;93;33016;981;X46789_5;48.76411592433333;1.9314061655833332
2023-06-07 09:03:35.462465;73.66031240164253;254;127;124;87;20;20;5;10;7;33195;95;33016;981;X46789_5;48.76411684911111;1.9314077332777777
2023-06-07 09:03:35.563632;73.66031240164253;254;126;124;88;20;20;5;10;8;33195;86;33016;989;X46789_5;48.76411777388889;1.9314093009722222
2023-06-07 09:03:35.664833;75.98832529402672;254;126;124;90;20;20;4;10;8;33195;86;33007;1008;X46789_5;48.764118698666664;1.9314108686666667
2023-06-07 09:03:35.766106;75.98832529402672;253;126;124;89;20;20;4;10;8;33195;86;32999;1017;X46789_5;48.764119623444444;1.9314124363611112
2023-06-07 09:03:35.867556;77.4146533654571;253;125;124;87;20;20;5;10;7;33182;94;33004;1019;X46789_5;48.76412054822222;1.9314140040555556
2023-06-07 09:03:35.968729;80.14522522372532;253;126;125;84;20;20;4;10;7;33165;94;33017;1010;X46789_5;48.764121473;1.93141557175
2023-06-07 09:03:36.070018;77.36687050123285;255;126;125;80;20;20;4;9;7;33147;94;33016;1009;X46789_5;48.764122397777776;1.9314171394444444
2023-06-07 09:03:36.171386;77.62722434324546;255;125;125;75;20;20;4;9;7;33162;87;33030;1009;X46789_5;48.764123322555555;1.9314187071388889
2023-06-07 09:03:36.272607;77.9784778636365;255;125;125;78;20;20;4;10;6;33162;79;33030;1026;X46789_5;48.764124247333335;1.9314202748333333
2023-06-07 09:03:36.373794;80.95441906799059;255;125;124;79;20;20;5;11;6;33159;86;33014;1034;X46789_5;48.764125172111115;1.9314218425277778
2023-06-07 09:03:36.476426;83.17471804909766;254;126;124;78;20;20;5;10;5;33158;89;33024;1047;X46789_5;48.76412609688889;1.931423410222222
2023-06-07 09:03:36.577768;85.8619708621898;252;127;124;81;20;20;5;10;4;33158;98;33014;1040;X46789_5;48.76412702166667;1.9314249779166666
2023-06-07 09:03:36.679427;84.13965171835041;253;127;124;81;20;20;4;10;4;33156;98;33030;1040;X46789_5;48.76412794644445;1.931426545611111
2023-06-07 09:03:36.781315;85.82075702605485;252;127;124;81;20;20;5;10;3;33156;98;33030;1050;X46789_5;48.764128871222226;1.9314281133055555
2023-06-07 09:03:36.882753;85.82075702605485;251;127;124;81;20;20;6;11;3;33162;98;33036;1034;X46789_5;48.764129796;1.931429681
2023-06-07 09:03:36.983954;86.32749540574743;252;127;125;81;20;20;6;11;2;33162;89;33040;1014;X46789_5;48.76413072077778;1.9314312486944445
2023-06-07 09:03:37.085171;84.77996016237778;253;127;125;81;20;20;5;10;2;33150;85;33035;1005;X46789_5;48.76413164555556;1.9314328163888888
2023-06-07 09:03:37.186401;84.77996016237778;253;127;124;81;20;20;4;11;1;33164;94;33035;998;X46789_5;48.76413257033333;1.9314343840833332
2023-06-07 09:03:37.287585;84.77996016237778;253;127;124;79;20;20;4;12;1;33176;92;33049;998;X46789_5;48.76413349511111;1.9314359517777777
2023-06-07 09:03:37.388796;87.06;254;127;124;77;20;20;4;12;1;33165;83;33032;998;X46789_5;48.76413441988889;1.9314375194722222
2023-06-07 09:03:37.490083;87.06;253;126;124;75;20;20;5;12;0;33173;83;33021;1007;X46789_5;48.76413534466667;1.9314390871666667
2023-06-07 09:03:37.591284;87.06;252;125;124;74;20;20;5;13;0;33167;83;33024;1005;X46789_5;48.76413626944444;1.9314406548611112
2023-06-07 09:03:37.692453;87.06;253;125;124;70;20;20;5;13;0;33149;82;33041;987;X46789_5;48.76413719422222;1.9314422225555554
