dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed;clienID;lat;long
2023-06-07 09:03:16.627776;78.14546612054309;234;127;124;100;20;20;0;6;2;33156;44;33152;710;X46789_5;48.76394669;1.9311192775
2023-06-07 09:03:16.729585;80.7596156633405;232;127;125;97;20;20;0;6;2;33139;47;33152;714;X46789_5;48.76394761477778;1.9311208451944444
2023-06-07 09:03:16.830640;82.43939419092845;231;127;124;97;20;20;0;6;2;33159;55;33171;710;X46789_5;48.76394853955556;1.9311224128888889
2023-06-07 09:03:16.932477;83.49513433036267;230;127;124;97;20;20;1;6;1;33153;57;33178;719;X46789_5;48.763949464333336;1.9311239805833333
2023-06-07 09:03:17.033833;83.26706686745784;231;127;124;100;20;20;1;6;1;33157;60;33178;726;X46789_5;48.76395038911111;1.9311255482777778
2023-06-07 09:03:17.135154;84.84982111046801;231;127;124;100;20;20;1;6;1;33168;63;33160;714;X46789_5;48.76395131388889;1.931127115972222
2023-06-07 09:03:17.236084;84.84982111046801;231;127;124;100;20;20;1;7;1;33157;67;33154;732;X46789_5;48.76395223866667;1.9311286836666666
2023-06-07 09:03:17.337254;84.84982111046801;232;127;125;97;20;20;1;8;1;33141;59;33154;743;X46789_5;48.76395316344445;1.931130251361111
2023-06-07 09:03:17.438381;84.84982111046801;232;127;125;97;20;20;1;8;2;33129;50;33153;750;X46789_5;48.76395408822222;1.9311318190555555
2023-06-07 09:03:17.539071;82.5518718940312;231;127;126;100;20;20;1;8;2;33116;50;33148;748;X46789_5;48.763955013;1.93113338675
2023-06-07 09:03:17.640141;82.45660831007574;231;126;126;100;20;20;0;8;3;33116;47;33143;761;X46789_5;48.76395593777778;1.9311349544444445
2023-06-07 09:03:17.741321;83.76413744579331;232;125;126;100;20;20;0;8;3;33133;45;33141;754;X46789_5;48.76395686255555;1.9311365221388888
2023-06-07 09:03:17.842687;82.11496014204813;232;125;127;100;20;20;0;8;3;33121;42;33141;760;X46789_5;48.76395778733333;1.9311380898333332
2023-06-07 09:03:17.943935;81.42835893717962;233;125;128;100;20;20;0;9;2;33140;42;33122;760;X46789_5;48.76395871211111;1.9311396575277777
2023-06-07 09:03:18.045046;80.44813397822884;232;125;128;98;20;20;0;9;2;33160;35;33122;769;X46789_5;48.76395963688889;1.9311412252222222
2023-06-07 09:03:18.146505;80.44813397822884;232;125;127;100;20;20;0;9;2;33152;39;33125;774;X46789_5;48.763960561666664;1.9311427929166667
2023-06-07 09:03:18.248035;78.77065086099283;232;125;127;100;20;20;0;10;2;33166;30;33126;774;X46789_5;48.763961486444444;1.9311443606111112
2023-06-07 09:03:18.349393;80.89850911839663;230;126;126;100;20;20;0;10;2;33170;20;33140;771;X46789_5;48.763962411222224;1.9311459283055554
2023-06-07 09:03:18.450957;80.89850911839663;230;125;127;100;20;20;0;11;1;33177;16;33142;784;X46789_5;48.763963336;1.931147496
2023-06-07 09:03:18.552742;82.8650903407694;231;126;127;100;20;20;0;11;1;33177;16;33142;784;X46789_5;48.763964260777776;1.9311490636944444
2023-06-07 09:03:18.653844;81.68649323127107;233;126;126;100;20;20;0;11;0;33193;21;33156;795;X46789_5;48.763965185555556;1.9311506313888889
2023-06-07 09:03:18.755543;84.65073016119965;233;127;126;95;20;20;0;12;0;33192;27;33142;795;X46789_5;48.763966110333335;1.9311521990833334
2023-06-07 09:03:18.856841;84.65073016119965;233;127;126;91;20;20;1;11;0;33195;27;33155;797;X46789_5;48.763967035111115;1.9311537667777778
2023-06-07 09:03:18.958531;83.48307998109757;234;127;126;90;20;20;2;11;0;33195;27;33173;790;X46789_5;48.76396795988889;1.931155334472222
2023-06-07 09:03:19.061423;82.11629416875496;233;127;126;85;20;20;3;11;0;33195;32;33189;809;X46789_5;48.76396888466667;1.9311569021666666
2023-06-07 09:03:19.163709;80.15074393119922;233;126;126;83;20;20;3;11;0;33195;23;33184;809;X46789_5;48.76396980944445;1.931158469861111
2023-06-07 09:03:19.264959;78.24227112430829;234;127;127;84;20;20;2;10;0;33195;23;33176;812;X46789_5;48.76397073422222;1.9311600375555555
2023-06-07 09:03:19.366224;79.866072590112;234;126;127;88;20;20;3;10;0;33195;29;33162;824;X46789_5;48.763971659;1.93116160525
2023-06-07 09:03:19.467468;80.98098339886486;232;126;127;84;20;20;3;10;0;33176;36;33176;829;X46789_5;48.76397258377778;1.9311631729444445
