dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed;clienID;lat;long
2023-06-07 09:03:25.845328;10.868253724566571;23;125;128;59;20;20;10;13;6;33007;110;32869;654;X46789_8;43.57568179;1.40664934
2023-06-07 09:03:25.947883;11.679458768956758;23;125;127;57;20;20;10;13;5;32997;110;32883;660;X46789_8;43.575684094972225;1.4066516326111111
2023-06-07 09:03:26.049129;10.229766305075081;23;125;126;58;20;20;10;13;6;32999;113;32883;642;X46789_8;43.575686399944445;1.406653925222222
2023-06-07 09:03:26.150422;10.401294516826326;23;125;127;63;20;20;9;13;7;32999;111;32876;656;X46789_8;43.575688704916665;1.4066562178333333
2023-06-07 09:03:26.251670;9.278547106632578;23;126;127;59;20;20;9;12;7;32999;119;32888;656;X46789_8;43.57569100988889;1.4066585104444445
2023-06-07 09:03:26.352924;9.044572181603687;24;126;127;58;20;20;8;12;7;32982;123;32888;663;X46789_8;43.57569331486111;1.4066608030555554
2023-06-07 09:03:26.454227;9.044572181603687;24;126;127;58;20;20;8;12;8;32982;123;32898;664;X46789_8;43.57569561983333;1.4066630956666666
2023-06-07 09:03:26.555475;10.170080080622789;26;126;127;58;20;20;7;12;9;32982;122;32903;677;X46789_8;43.57569792480555;1.4066653882777778
2023-06-07 09:03:26.656717;10.170080080622789;26;126;128;55;20;20;8;13;9;32996;116;32893;666;X46789_8;43.57570022977778;1.406667680888889
2023-06-07 09:03:26.758075;10.170080080622789;26;126;129;58;20;20;8;12;8;32996;111;32878;676;X46789_8;43.57570253475;1.4066699735
2023-06-07 09:03:26.859961;11.950894588370108;26;126;129;61;20;20;8;13;9;32996;111;32886;680;X46789_8;43.57570483972222;1.406672266111111
2023-06-07 09:03:26.961210;10.597285341024797;26;126;129;61;20;20;7;13;9;32996;114;32898;689;X46789_8;43.57570714469444;1.4066745587222222
2023-06-07 09:03:27.062607;13.3088279382811;25;126;129;59;20;20;8;13;10;33014;114;32904;690;X46789_8;43.57570944966667;1.4066768513333332
2023-06-07 09:03:27.163869;10.389389050381386;27;126;129;56;20;20;8;13;9;33026;117;32887;708;X46789_8;43.57571175463889;1.4066791439444444
2023-06-07 09:03:27.265146;10.389389050381386;27;126;129;53;20;20;7;13;9;33032;116;32887;709;X46789_8;43.57571405961111;1.4066814365555556
2023-06-07 09:03:27.366484;9.161219560649837;28;127;128;53;20;20;7;12;10;33038;112;32872;705;X46789_8;43.575716364583336;1.4066837291666667
2023-06-07 09:03:27.467735;9.161219560649837;28;127;128;50;20;20;7;12;9;33038;118;32875;691;X46789_8;43.575718669555556;1.4066860217777777
2023-06-07 09:03:27.569134;9.094965361660032;27;127;128;53;20;20;6;12;9;33025;120;32875;697;X46789_8;43.575720974527776;1.4066883143888889
2023-06-07 09:03:27.670423;8.313930104650892;27;127;128;53;20;20;6;12;8;33032;129;32889;697;X46789_8;43.5757232795;1.406690607
2023-06-07 09:03:27.771631;9.320520396397411;27;126;127;53;20;20;5;11;8;33017;120;32887;706;X46789_8;43.575725584472224;1.406692899611111
2023-06-07 09:03:27.872910;9.615416114111708;28;126;127;55;20;20;6;11;8;33005;122;32885;689;X46789_8;43.575727889444444;1.4066951922222222
2023-06-07 09:03:27.974520;9.615416114111708;28;126;126;52;20;20;7;11;7;32992;129;32902;689;X46789_8;43.575730194416664;1.4066974848333333
2023-06-07 09:03:28.075791;6.953449423388909;28;126;126;52;20;20;8;11;7;32992;129;32906;680;X46789_8;43.57573249938889;1.4066997774444443
2023-06-07 09:03:28.177197;6.696766113064566;29;126;127;49;20;20;8;12;7;32995;135;32925;680;X46789_8;43.57573480436111;1.4067020700555555
2023-06-07 09:03:28.278729;7.518428756419491;30;126;127;51;20;20;8;12;7;33010;135;32942;686;X46789_8;43.57573710933333;1.4067043626666667
2023-06-07 09:03:28.380144;7.745886906718635;32;126;127;49;20;20;8;13;7;33010;129;32956;686;X46789_8;43.57573941430555;1.4067066552777778
2023-06-07 09:03:28.481417;7.702063463135767;31;126;127;52;20;20;8;13;6;33008;131;32958;681;X46789_8;43.57574171927778;1.4067089478888888
2023-06-07 09:03:28.582998;8.508706372744818;31;125;127;52;20;20;9;13;6;33008;133;32958;681;X46789_8;43.57574402425;1.4067112405
2023-06-07 09:03:28.684209;10.274595984792922;32;125;127;56;20;20;9;13;5;33008;133;32965;664;X46789_8;43.57574632922222;1.4067135331111111
2023-06-07 09:03:28.785429;7.895271591003954;33;126;127;56;20;20;9;12;6;33008;133;32965;683;X46789_8;43.57574863419445;1.406715825722222
2023-06-07 09:03:28.886940;8.021888569930965;34;126;126;58;20;20;9;11;5;33005;132;32965;682;X46789_8;43.57575093916667;1.4067181183333333
2023-06-07 09:03:28.988146;6.665632951935205;35;126;127;58;20;20;9;11;5;33004;140;32970;682;X46789_8;43.57575324413889;1.4067204109444444
2023-06-07 09:03:29.089356;7.393025663483865;35;126;127;55;20;20;8;10;5;32992;140;32986;685;X46789_8;43.57575554911111;1.4067227035555556
2023-06-07 09:03:29.190902;7.393025663483865;33;127;127;57;20;20;9;10;5;32996;146;32986;671;X46789_8;43.575757854083335;1.4067249961666666
