dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed;clienID;lat;long
2023-06-07 09:03:35.091470;8.081608483134824;31;128;125;38;20;20;3;5;2;33045;134;33107;628;X46789_8;43.5758892375;1.4068556749999999
2023-06-07 09:03:35.192627;8.081608483134824;31;129;124;38;20;20;3;4;1;33060;134;33107;638;X46789_8;43.57589154247222;1.406857967611111
2023-06-07 09:03:35.294238;10.399199589175387;32;128;125;34;20;20;2;4;1;33041;134;33107;652;X46789_8;43.57589384744445;1.4068602602222222
2023-06-07 09:03:35.395770;7.487364444655419;32;128;125;32;20;20;2;4;0;33024;125;33107;644;X46789_8;43.57589615241667;1.4068625528333334
2023-06-07 09:03:35.497690;9.234111396444279;32;129;125;32;20;20;3;5;1;33024;124;33107;653;X46789_8;43.57589845738889;1.4068648454444443
2023-06-07 09:03:35.599431;9.211672927619444;31;129;124;32;20;20;4;6;0;33024;123;33125;668;X46789_8;43.57590076236111;1.4068671380555555
2023-06-07 09:03:35.701115;11.725115266120042;31;128;124;32;20;20;3;6;0;33024;114;33124;660;X46789_8;43.575903067333336;1.4068694306666667
2023-06-07 09:03:35.802875;12.646015210095728;30;128;124;32;20;20;3;6;0;33041;114;33124;657;X46789_8;43.575905372305556;1.4068717232777777
2023-06-07 09:03:35.904441;13.681202892517756;31;128;125;32;20;20;4;7;1;33033;104;33124;661;X46789_8;43.575907677277776;1.4068740158888888
2023-06-07 09:03:36.005625;13.681202892517756;30;128;125;29;20;20;4;7;1;33050;114;33113;680;X46789_8;43.57590998225;1.4068763085
2023-06-07 09:03:36.106969;14.256293004706443;32;128;124;29;20;20;3;7;1;33063;117;33129;693;X46789_8;43.57591228722222;1.4068786011111112
